deal_ym,aptNm,umdNm,dealAmount_raw,dealYear,dealMonth,dealDay,excluUseAr_raw,floor_raw,buildYear_raw,cdealType,cdealDay,roadNm,price,area_m2,floor,buildYear,date
201704,동탄역시범예미지아파트,청계동,"49,700",2017,4,27,84.996,8,2015,,,동탄대로시범길,49700,84.996,8,2015,2017-04-27
201704,동탄역시범대원칸타빌아파트,청계동,"54,500",2017,4,27,84.786,10,2015,,,동탄대로시범길,54500,84.786,10,2015,2017-04-27
201704,KCC스위첸아파트,청계동,"43,900",2017,4,25,84.01,20,2015,,,동탄청계로,43900,84.01,20,2015,2017-04-25
201704,동탄역 신미주,오산동,"28,000",2017,4,22,84.896,5,2005,,,동탄감배산로,28000,84.896,5,2005,2017-04-22
201704,동탄역센트럴푸르지오,청계동,"35,900",2017,4,14,59.4313,6,2015,,,동탄순환대로21길,35900,59.4313,6,2015,2017-04-14
201704,동탄역이지더원,영천동,"32,000",2017,4,15,59.9804,9,2015,,,동탄순환대로28길,32000,59.9804,9,2015,2017-04-15
201704,동탄역반도유보라아이비파크2.0,영천동,"42,000",2017,4,29,84.9921,14,2016,,,동탄순환대로26길,42000,84.9921,14,2016,2017-04-29
201704,더샵센트럴시티,청계동,"54,900",2017,4,28,84.392,1,2015,,,동탄대로시범길,54900,84.392,1,2015,2017-04-28
201704,동탄역 시범우남퍼스트빌아파트,청계동,"42,250",2017,4,16,59.99,26,2015,,,동탄대로시범길,42250,59.99,26,2015,2017-04-16
201704,동탄역 시범우남퍼스트빌아파트,청계동,"44,500",2017,4,15,59.98,22,2015,,,동탄대로시범길,44500,59.98,22,2015,2017-04-15
201704,동탄역시범호반써밋,청계동,"53,000",2017,4,30,84.9537,9,2015,,,동탄대로시범길,53000,84.9537,9,2015,2017-04-30
201704,동탄역대원칸타빌포레지움,청계동,"50,000",2017,4,17,114.711,1,2015,,,동탄순환대로22길,50000,114.711,1,2015,2017-04-17
201704,동탄역센트럴푸르지오,청계동,"42,750",2017,4,22,84.9834,2,2015,,,동탄순환대로21길,42750,84.9834,2,2015,2017-04-22
201704,동탄역시범예미지아파트,청계동,"44,900",2017,4,12,74.968,6,2015,,,동탄대로시범길,44900,74.968,6,2015,2017-04-12
201704,동탄역반도유보라아이비파크2.0,영천동,"42,500",2017,4,13,84.9921,25,2016,,,동탄순환대로26길,42500,84.9921,25,2016,2017-04-13
201704,동탄역시범호반써밋,청계동,"48,000",2017,4,21,84.9537,5,2015,,,동탄대로시범길,48000,84.9537,5,2015,2017-04-21
201704,동탄역시범예미지아파트,청계동,"64,000",2017,4,8,84.935,1,2015,,,동탄대로시범길,64000,84.935,1,2015,2017-04-08
201704,KCC스위첸아파트,청계동,"42,700",2017,4,13,84.11,1,2015,,,동탄청계로,42700,84.11,1,2015,2017-04-13
201704,동탄역모아미래도,청계동,"42,300",2017,4,29,84.9558,13,2015,,,동탄청계로,42300,84.9558,13,2015,2017-04-29
201704,동탄역시범호반써밋,청계동,"53,500",2017,4,20,84.9537,15,2015,,,동탄대로시범길,53500,84.9537,15,2015,2017-04-20
201704,더샵센트럴시티,청계동,"69,700",2017,4,7,106.537,3,2015,,,동탄대로시범길,69700,106.537,3,2015,2017-04-07
201704,동탄역모아미래도,청계동,"43,000",2017,4,28,84.9982,23,2015,,,동탄청계로,43000,84.9982,23,2015,2017-04-28
201704,동탄역 시범우남퍼스트빌아파트,청계동,"43,900",2017,4,12,59.98,26,2015,,,동탄대로시범길,43900,59.98,26,2015,2017-04-12
201704,동탄역모아미래도,청계동,"42,500",2017,4,24,84.9982,13,2015,,,동탄청계로,42500,84.9982,13,2015,2017-04-24
201704,동탄역 신미주,오산동,"26,900",2017,4,4,84.896,5,2005,,,동탄감배산로,26900,84.896,5,2005,2017-04-04
201704,동탄역 호반 써밋,청계동,"36,600",2017,4,14,59.8365,12,2015,,,동탄순환대로22길,36600,59.8365,12,2015,2017-04-14
201704,동탄역시범호반써밋,청계동,"50,000",2017,4,26,84.9537,4,2015,,,동탄대로시범길,50000,84.9537,4,2015,2017-04-26
201704,동탄역대원칸타빌포레지움,청계동,"40,000",2017,4,1,84.208,11,2015,,,동탄순환대로22길,40000,84.208,11,2015,2017-04-01
201704,동탄역이지더원,영천동,"31,600",2017,4,25,59.9804,11,2015,,,동탄순환대로28길,31600,59.9804,11,2015,2017-04-25
